korean,preferred_vi,preferred_en,preferred_zh,preferred_th,preferred_ms,preferred_mn,preferred_ru,preferred_ja,note
단말기,Thiết bị đầu cuối,Terminal/Device,终端设备,อุปกรณ์ปลายทาง,Peranti,Төхөөрөмж/Терминал,Терминал/Устройство,端末/デバイス,준비물
태블릿,Máy tính bảng,Tablet,平板电脑,แท็บเล็ต,Tablet,Таблет,Планшет,タブレット,준비물
휴대전화,Điện thoại di động,Mobile phone/Cell phone,手机,โทรศัพท์มือถือ,Telefon bimbit,Гар утас,Мобильный телефон,携帯電話,행정
카카오톡,KakaoTalk,KakaoTalk,KakaoTalk,KakaoTalk,KakaoTalk,KakaoTalk,KakaoTalk,カカオトーク,행정
디지털,Kỹ thuật số,Digital,数字,ดิจิทัล,Digital,Дижитал,Цифровой,デジタル,행정
특별교육,Giáo dục đặc biệt,Special education/Special training,特别教育/特殊教育,การศึกษาพิเศษ/การอบรมพิเศษ,Pendidikan khas/Latihan khas,Тусгай боловсрол,Специальное образование/Особое обучение,特別教育/特殊教育,행정
영재교육대상자,Đối tượng giáo dục năng khiếu,Gifted education recipient/Talented student,英才教育对象/资优生,ผู้มีสิทธิ์ได้รับการศึกษาสำหรับผู้มีความสามารถพิเศษ,Calon pendidikan berbakat,Авьяаслаг боловсролын хамрагдагч,Участник программы обучения одаренных детей,英才教育対象者/ギフテッド教育対象者,행정
맞춤형,Cá nhân hóa/Tùy chỉnh,Customized/Personalized,定制化/个性化,เฉพาะบุคคล/ปรับแต่ง,Tersuai/Peribadi,Тохируулсан/Хувийн,Индивидуальный/Персонализированный,カスタマイズされた/個別対応,행정
청소년,Thanh thiếu niên,Youth/Adolescent,青少年,เยาวชน,Remaja,Өсвөр насны хүүхэд,Молодежь/Подросток,青少年,행정
자원봉사센터,Trung tâm tình nguyện,Volunteer center,志愿者中心,ศูนย์อาสาสมัคร,Pusat sukarelawan,Сайн дурын төв,Центр волонтерства,ボランティアセンター,행정
체크리스트,danh sách kiểm tra,checklist,清单,รายการตรวจสอบ,senarai semak,шалгах хуудас,контрольный список,チェックリスト,행정
