korean,preferred_vi,preferred_en,preferred_zh,preferred_th,preferred_ms,preferred_mn,preferred_ru,preferred_ja,note
위탁의료기관,Cơ sở y tế được chỉ định,Designated medical facility,指定医疗机构,สถานพยาบาลที่กำหนด,Institusi perubatan yang ditetapkan,Томилогдсон эмнэлгийн байгууллага,Назначенное медицинское учреждение,指定医療機関,행정
자가점검,Tự kiểm tra,Self-check,自我检查,การตรวจสุขภาพด้วยตนเอง,Semakan kendiri,Өөрөө шалгах,Самопроверка,自己点検,검사
이상반응,Phản ứng bất thường,Adverse reaction,异常反应,อาการไม่พึงประสงค์,Reaksi buruk,Хэвийн бус урвал,Нежелательная реакция,異常反応,검사
늘봄학교,Trường Neulbom,Neulbom School,延长托管学校,โรงเรียน Neulbom,Sekolah Neulbom,Ныльбом сургууль,Школа Ныльбом,ヌルボム学校,행정
아침독서,Đọc sách buổi sáng,Morning reading,晨读,การอ่านตอนเช้า,Bacaan pagi,Өглөөний уншлага,Утреннее чтение,朝読書,일정
접종장소,Địa điểm tiêm chủng,Vaccination site,接种地点,สถานที่ฉีดวัคซีน,Tempat vaksinasi,Вакцин хийх газар,Место вакцинации,接種場所,일정
선착순,Ai đến trước được phục vụ trước,"First-come, first-served",先到先得,มาก่อนได้ก่อน,Siapa cepat dia dapat,Эхэлж ирсэн дарааллаар,В порядке живой очереди,先着順,행정
재량휴업일,Ngày nghỉ do nhà trường quy định,School closure day,学校指定休业日,วันหยุดที่โรงเรียนกำหนด,Cuti yang ditetapkan oleh sekolah,Сургуулиас тогтоосон амралтын өдөр,"День отдыха, установленный школой",学校指定休業日,일정
수업일,Ngày học,School day,上课日,วันเรียน,Hari persekolahan,Хичээлийн өдөр,Учебный день,授業日,일정
누리집,Trang web,Website,网站,เว็บไซต์,Laman web,Вебсайт,Веб-сайт,ホームページ,행정
학기중,Trong học kỳ,During the semester,学期中,ในช่วงภาคเรียน,Semasa semester,Улирлын турш,Во время семестра,学期中,일정
전면등교,Đi học trực tiếp toàn bộ,Full in-person attendance,全面返校,การเข้าเรียนในโรงเรียนเต็มรูปแบบ,Kehadiran fizikal sepenuhnya,Бүрэн танхимын хичээл,Полное очное обучение,全面登校,행정
수학여행,Chuyến đi học tập của trường,Overnight school trip,研学旅行,ทัศนศึกษา,Lawatan sekolah,Сургалтын аялал,Школьная поездка,修学旅行,일정
봉사활동,Hoạt động tình nguyện,Volunteer activity,志愿活动,กิจกรรมอาสา,Aktiviti sukarelawan,Сайн дурын үйл ажиллагаа,Добровольческая деятельность,ボランティア活動,일정
출결처리,Xử lý chuyên cần,Attendance processing,出缺勤处理,การจัดการการเข้าเรียน,Pemprosesan kehadiran,Ирц бүртгэл,Учёт посещаемости,出欠処理,행정
교육활동,Hoạt động giáo dục,Educational activities,教育活动,กิจกรรมทางการศึกษา,Aktiviti pendidikan,Боловсролын үйл ажиллагаа,Образовательная деятельность,教育活動,일정
학부모회,Hội phụ huynh,Parents association,家长委员会,สมาคมผู้ปกครอง,Persatuan ibu bapa,Эцэг эхийн холбоо,Родительский комитет,保護者会,행정
담당자,Người phụ trách,Person in charge,负责人,เจ้าหน้าที่ติดต่อ,Pegawai bertanggungjawab,Хариуцсан ажилтан,Ответственное лицо,担当者,행정
수련지도사,Giáo viên hướng dẫn hoạt động trải nghiệm,Youth training instructor,青少年训练指导员,ครูฝึกกิจกรรมเยาวชน,Jurulatih latihan belia,Залуучуудын сургалтын багш,Инструктор молодёжного лагеря,青少年研修指導員,일정
