korean,preferred_vi,preferred_en,preferred_zh,preferred_th,preferred_ms,preferred_mn,preferred_ru,preferred_ja,role,note
급식,bữa ăn ở trường,School lunch,校餐,อาหารกลางวัน,makanan sekolah,сургуулийн хоол,питание в школе,給食,item,급식
식단표,thực đơn,Lunch menu,每周菜单,รายการอาหาร,menu makanan,хоолны цэс,меню,献立表,item,급식
알레르기,dị ứng,Allergy,过敏,อาการแพ้,alahan,харшил,аллергия,アレルギー,item,건강
예방접종,tiêm phòng,Vaccination,疫苗接种,การฉีดวัคซีน,suntikan vaksin,вакцин,прививка,予防接種,item,건강
건강검진,khám sức khỏe,Health check-up,健康体检,การตรวจสุขภาพ,pemeriksaan kesihatan,эрүүл мэндийн үзлэг,медосмотр,健康診断,item,건강
신체검사,kiểm tra sức khỏe thể chất,Physical exam,身体检查,การตรวจร่างกาย,pemeriksaan fizikal,биеийн үзлэг,проверка роста и веса,身体測定,item,건강
감염병,bệnh truyền nhiễm,Contagious illness,传染病,โรคติดต่อ,penyakit berjangkit,халдварт өвчин,инфекция,感染症,item,건강
머릿니,chấy rận,Head lice,头虱,เหา,kutu rambut,толгойны бөөс,вши,アタマジラミ,item,건강
독감,cúm,Flu,流感,ไข้หวัดใหญ่,selesema,томуу,грипп,インフルエンザ,item,건강
코로나,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,COVID-19,item,건강
미세먼지,bụi mịn,Fine dust,细颗粒物,ฝุ่น PM2.5,habuk halus,нарийн ширхэгт тоос,мелкая пыль,PM2.5,item,건강
안전교육,giáo dục an toàn,Safety education,安全教育,การเรียนรู้เรื่องความปลอดภัย,didikan keselamatan,аюулгүй байдлын хичээл,уроки безопасности,安全教育,item,안전
재난대피훈련,diễn tập sơ tán,Disaster drill,避险演练,การซ้อมอพยพหนีภัย,latihan kecemasan,гамшгаас хамгаалах сургуулилт,тренировка на случай ЧП,避難訓練,item,안전
학교폭력,bạo lực học đường,School bullying,校园暴力,ความรุนแรงในโรงเรียน,buli di sekolah,сургуулийн хүчирхийлэл,школьное насилие,いじめ,item,안전
생활지도,hướng dẫn nề nếp sinh hoạt,Student guidance,生活指导,การแนะนำระเบียบวินัยและการใช้ชีวิต,bimbingan tingkah laku,хүмүүжлийн заавар,правила поведения,生活指導,item,건강·안전
교통안전,an toàn giao thông,Traffic safety,交通安全,ความปลอดภัยทางจราจร,keselamatan jalan raya,замын хөдөлгөөний аюулгүй байдал,дорожная безопасность,交通安全,item,안전
귀가 동의,đồng ý về cách về nhà,Home dismissal consent,放学回家同意,ยินยอมการกลับบ้าน,kebenaran balik rumah,гэртээ харих зөвшөөрөл,согласие на уход домой,帰宅方法の同意,item,제출
귀가 동의서,giấy đồng ý về cách về nhà,Home dismissal consent form,放学回家同意书,ใบยินยอมการกลับบ้าน,borang kebenaran balik rumah,гэртээ харих зөвшөөрлийн маягт,согласие на самостоятельный уход домой,帰宅方法同意書,item,제출 서류
응급처치,sơ cứu,First aid,急救措施,การปฐมพยาบาล,pertolongan cemas,анхны тусламж,первая помощь,応急処置,item,건강/안전
투약 의뢰서,phiếu yêu cầu cho trẻ uống thuốc,Medication request form,服药委托书,ใบคำขอให้ช่วยป้อนยา,borang permohonan pemberian ubat,эм өгөх хүсэлт,просьба дать лекарство,投薬依頼書,item,제출 서류
칫솔,bàn chải đánh răng,Toothbrush,牙刷,แปรงสีฟัน,berus gigi,шүдний сойз,зубная щетка,歯ブラシ,item,준비물
수건,khăn mặt,Towel,毛巾,ผ้าเช็ดตัว,tuala,алчуур,полотенце,タオル,item,준비물
방과후 신청,đăng ký học sau giờ học,After-school sign-up,课后班申请,การสมัครเรียนเสริมหลังเลิกเรียน,mohon kelas selepas sekolah,дугуйланд бүртгүүлэх,запись на кружки,放課後教室の申し込み,item,제출
돌봄 신청,đăng ký lớp chăm sóc trẻ,Care program sign-up,托管申请,การสมัครเข้าห้องดูแลเด็ก,mohon jagaan pelajar,өдөр өнжүүлэхэд бүртгүүлэх,запись в группу продленки,学童の申し込み,item,제출
키즈노트,Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),Kids Note(키즈노트),item,서비스명
학교종이,Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),Hakgyo Jongi(학교종이),item,서비스명 확인완료
하이클래스,HiClass(하이클래스),HiClass(하이클래스),HiClass(하이클래스),HiClass(하이클래스),HiClass(하이클래스),HiClass(하이클래스),HiClass(하이클래스),HiClass（ハイクラス）,item,서비스명
e알리미,e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),e-Alimi(e알리미),item,서비스명
숙제,bài tập về nhà,Homework,作业,การบ้าน,kerja sekolah,гэрийн даалгавар,домашнее задание,宿題,item,기타
수행평가,đánh giá quá trình,Performance assessment,学业表现评价,การประเมินผลการเรียน,penilaian prestasi,гүйцэтгэлийн үнэлгээ,оценивание выполнения задания,パフォーマンス評価,item,기타
준비 학습,chuẩn bị bài học,Prep work,预习,การเตรียมตัวก่อนเรียน,belajar persediaan,хичээлийн бэлтгэл,подготовка к уроку,予習,item,기타
독서 활동,hoạt động đọc sách,Reading activity,阅读活动,กิจกรรมการอ่านหนังสือ,aktiviti membaca,ном унших цаг,чтение книг,読書活動,item,기타
방학 과제,bài tập kỳ nghỉ,Vacation homework,假期作业,งานที่ต้องทำช่วงปิดเทอม,tugasan cuti sekolah,амралтын даалгавар,задание на каникулы,長期休みの宿題,item,기타
개인정보 동의서,giấy đồng ý sử dụng thông tin cá nhân,Privacy consent form,个人信息同意书,ใบยินยอมให้ข้อมูลส่วนบุคคล,borang izin maklumat peribadi,хувийн мэдээллийн зөвшөөрөл,согласие на использование личных данных,個人情報同意書,item,제출
응급 연락처,số liên lạc khẩn cấp,Emergency contact,紧急联系方式,เบอร์ติดต่อฉุกเฉิน,nombor kecemasan,яаралтай үед холбоо барих утас,экстренный номер телефона,緊急連絡先,item,건강·안전
보호자,người giám hộ,Guardian,家长,ผู้ปกครอง,penjaga,асран хамгаалагч,опекун,保護者,item,기타
보호자 서명,chữ ký của người giám hộ,Guardian signature,家长签字,ลายเซ็นผู้ปกครอง,tandatangan penjaga,асран хамгаалагчийн гарын үсэг,подпись родителя,保護者署名,item,제출
비상 연락망,danh sách liên lạc khẩn cấp,Emergency contact list,紧急联系网,รายชื่อติดต่อยามฉุกเฉิน,senarai nombor kecemasan,яаралтай холбоо барих дугаар,контакты для экстренной связи,緊急連絡網,item,건강·안전
우산,cái ô,Umbrella,雨伞,ร่ม,payung,шүхэр,зонтик,傘,item,준비물
마스크,khẩu trang,Mask,口罩,หน้ากากอนามัย,pelitup muka,амны хаалт,маска,マスク,item,건강·안전
여분 마스크,khẩu trang dự phòng,Extra mask,备用口罩,หน้ากากอนามัยสำรอง,pelitup muka simpanan,илүү амны хаалт,запасная маска,予備のマスク,item,건강·안전
손 소독제,nước rửa tay khô,Hand sanitizer,手部消毒液,เจลล้างมือ,pencuci tangan,гар ариутгагч,антисептик для рук,除菌ジェル,item,건강·안전
실습복,đồ thực hành,Activity clothes,活动服,ชุดสำหรับฝึกปฏิบัติ,baju praktikal,дадлагын хувцас,рабочая одежда,活動着,item,준비물
우천 시,trường hợp trời mưa,In case of rain,下雨时,ในกรณีที่ฝนตก,jika hujan,бороо орсон тохиолдолд,в случае дождя,雨天の場合,item,일정
연기,hoãn lại,Postponed,推迟,การเลื่อนกำหนดการ,tangguhkan,хойшлуулах,перенос,延期,item,일정
취소,hủy bỏ,Canceled,取消,การยกเลิก,batal,цуцлах,отмена,中止,item,일정
변경 사항,nội dung thay đổi,Changes,变更事项,ข้อมูลที่เปลี่ยนแปลง,perubahan,өөрчлөгдсөн зүйлс,изменения,変更事項,item,기타
수업비,tiền học,Class fee,学费,ค่าเรียน,yuran kelas,хичээлийн төлбөр,оплата за занятия,授業料,item,비용
수업료,học phí,Tuition,学费,ค่าเล่าเรียน,yuran sekolah,сургалтын төлбөр,стоимость обучения,授業料,item,비용
방과후 수업,lớp học thêm sau giờ học,After-school class,课后课程,เรียนเสริมหลังเลิกเรียน,kelas selepas sekolah,дугуйлангийн хичээл,занятия после школы,放課後授業,item,일정
영어 수업,lớp học tiếng Anh,English class,英语课,เรียนภาษาอังกฤษ,kelas Bahasa Inggeris,англи хэлний хичээл,уроки английского,英語の授業,item,일정
교재,tài liệu học tập,Learning materials,教材,สื่อการเรียน,bahan belajar,сурах бичиг,учебные материалы,教材,item,준비물
필통,hộp bút,Pencil case,铅笔盒,กล่องดินสอ,kotak pensel,үзгэн хайрцаг,пенал,筆箱,item,준비물
색연필,bút chì màu,Colored pencils,彩色铅笔,สีไม้,pensel warna,өнгөт харандаа,цветные карандаши,色鉛筆,item,준비물
연필,bút chì,Pencil,铅笔,ดินสอ,pensel,харандаа,карандаш,鉛筆,item,준비물
지우개,cục tẩy,Eraser,橡皮,ยางลบ,pemadam,баллуур,ластик,消しゴム,item,준비물
공책,quyển vở,Notebook,笔记本,สมุด,buku tulis,дэвтэр,тетрадь,ノート,item,준비물
보호자 연락처,số điện thoại phụ huynh,Guardian contact info,家长联系电话,เบอร์ติดต่อผู้ปกครอง,nombor telefon penjaga,асран хамгаалагчийн утасны дугаар,номер телефона родителя,保護者の連絡先,item,건강·안전
오후,buổi chiều,PM,下午,ช่วงบ่าย,petang,үдээс хойш,после обеда,午後,item,일정
오전,buổi sáng,AM,上午,ช่วงเช้า,pagi,үдээс өмнө,до обеда,午前,item,일정
월요일,Thứ Hai,Monday,星期一,วันจันทร์,Isnin,даваа гараг,понедельник,月曜日,item,일정
화요일,Thứ Ba,Tuesday,星期二,วันอังคาร,Selasa,мягмар гараг,вторник,火曜日,item,일정
수요일,Thứ Tư,Wednesday,星期三,วันพุธ,Rabu,лхагва гараг,среда,水曜日,item,일정
목요일,Thứ Năm,Thursday,星期四,วันพฤหัสบดี,Khamis,пүрэв гараг,четверг,木曜日,item,일정
금요일,Thứ Sáu,Friday,星期五,วันศุกร์,Jumaat,баасан гараг,пятница,金曜日,item,일정
귀가,về nhà,Going home,回家,การกลับบ้าน,balik rumah,харих,возвращение домой,帰り,item,일정
학생,học sinh,student,学生,นักเรียน,murid,сурагч,ученик,児童・生徒,item,sinh viên(대학생) 오역 방지
초등학생,học sinh tiểu học,elementary school student,小学生,นักเรียนประถมศึกษา,murid sekolah rendah,бага сургуулийн сурагч,ученик начальной школы,小学生,item,대학생 오역 방지
전세버스,xe buýt thuê,charter bus,包车,รถบัสเช่าเหมา,bas sewaan,түрээсийн автобус,арендованный автобус,チャーターバス,item,서버/콘돔 오역 방지
생존수영,bơi lội an toàn,survival swimming,生存游泳,การว่ายน้ำเพื่อความปลอดภัย,renang keselamatan,аврах усанд сэлэлт,навыки безопасного плавания,水泳安全教育,item,생존수영 교육
리코더,sáo recorder,recorder,竖笛,รีคอร์เดอร์,rekoder,блок флейт,блокфлейта,リコーダー,item,녹음기 오역 방지
우범지역,khu vực cần chú ý an toàn,area requiring safety caution,危险地区,พื้นที่เสี่ยงอันตราย,kawasan berisiko,аюултай бүс нутаг,опасный район,危険な地域,item,좋은 지역 반대 오역 방지
줄넘기,dây nhảy,jump rope,跳绳,เชือกกระโดด,tali lompat,дэвхрэх олс,скакалка,なわとび,item,준비물
간편복,quần áo thoải mái,casual clothes,便服,เสื้อผ้าสบาย,pakaian selesa,тав тухтай хувцас,удобная одежда,動きやすい服装,item,준비물
어깨끈,quai đeo vai,shoulder strap,肩带,สายสะพายไหล่,tali bahu,мөрний уяа,плечевой ремень,肩ひも,item,가방 관련
횡단보도,vạch sang đường,crosswalk,人行横道,ทางม้าลาย,tempat penyeberangan,явган хүний гарц,пешеходный переход,横断歩道,item,교통안전
안심벨,chuông an toàn,safety alarm,安心铃,กริ่งนิรภัย,loceng keselamatan,аюулгүй байдлын хонх,сигнал безопасности,安心ベル,item,학교 안전 기기
수리력,năng lực toán học,numeracy,数学能力,ความสามารถทางคณิตศาสตร์,kemahiran numerasi,тоон чадвар,математические навыки,算数の力,item,수선/수리 오역 방지
물통,bình nước,water bottle,水壶,ขวดน้ำ,botol air,усны сав,бутылка для воды,水筒,item,준비물
운영시간,Thời gian hoạt động,Operating hours,运营时间,เวลาดำเนินการ,Waktu operasi,Үйл ажиллагааны цаг,Время работы,運営時間,item,슬롯 카드 헤더
운영방법,Cách thức hoạt động,Operating method,运营方法,วิธีดำเนินการ,Cara operasi,Үйл ажиллагааны арга,Способ проведения,運営方法,item,슬롯 카드 헤더
운영날짜,Ngày hoạt động,Operating date,运营日期,วันดำเนินการ,Tarikh operasi,Үйл ажиллагааны өдөр,Дата проведения,運営日,item,슬롯 카드 헤더
신청방법,Cách đăng ký,How to apply,申请方法,วิธีสมัคร,Cara mendaftar,Бүртгүүлэх арга,Как подать заявку,申込方法,item,슬롯 카드 헤더
신청기간,Thời gian đăng ký,Application period,申请期间,ระยะเวลาสมัคร,Tempoh permohonan,Бүртгэлийн хугацаа,Период подачи заявок,申込期間,item,슬롯 카드 헤더
신청 URL,URL đăng ký,Application URL,申请网址,URL สำหรับสมัคร,URL permohonan,Бүртгэлийн URL,Ссылка для подачи,申込URL,item,슬롯 카드 헤더
일시,Thời gian,Date and time,日期时间,วันเวลา,Tarikh dan masa,Огноо ба цаг,Дата и время,日時,item,슬롯 카드 헤더
시간,Thời gian,Time,时间,เวลา,Masa,Цаг,Время,時間,item,슬롯 카드 헤더
장소,Địa điểm,Place,场所,สถานที่,Tempat,Газар,Место,場所,item,슬롯 카드 헤더
대상,Đối tượng,Target,对象,กลุ่มเป้าหมาย,Sasaran,Зорилтот,Целевая аудитория,対象,item,슬롯 카드 헤더
비용,Chi phí,Cost,费用,ค่าใช้จ่าย,Kos,Зардал,Стоимость,費用,item,슬롯 카드 헤더
회비,Phí hội,Membership fee,会费,ค่าสมาชิก,Yuran keahlian,Гишүүний хураамж,Членский взнос,会費,item,슬롯 카드 헤더
참가비,Phí tham gia,Participation fee,参加费,ค่าเข้าร่วม,Yuran penyertaan,Оролцооны хураамж,Взнос за участие,参加費,item,슬롯 카드 헤더
기타 안내사항,Thông tin khác,Other information,其他通知事项,ข้อแจ้งอื่นๆ,Pengumuman lain,Бусад мэдээлэл,Прочие уведомления,その他のお知らせ,item,슬롯 카드 헤더
안내사항,Thông tin hướng dẫn,Notices,通知事项,ข้อแจ้ง,Pengumuman,Мэдээлэл,Уведомление,お知らせ,item,슬롯 카드 헤더
유의사항,Lưu ý,Important Notes,注意事项,ข้อควรระวัง,Perhatian,Анхааруулга,Внимание,注意事項,item,슬롯 카드 헤더
문의,Liên hệ,Inquiries,咨询,สอบถาม,Pertanyaan,Лавлагаа,Вопросы,問合せ,item,슬롯 카드 헤더
운영일시,Thời gian hoạt động,Operation hours,运营时间,เวลาดำเนินการ,Waktu operasi,Ажиллах цаг,Время работы,運営日時,item,슬롯 카드 헤더
결과발표,Công bố kết quả,Results announcement,结果公布,ประกาศผล,Pengumuman keputusan,Үр дүнгийн мэдэгдэл,Объявление результатов,結果発表,item,슬롯 카드 헤더
준비,Chuẩn bị,Preparation,准备,การเตรียม,Persediaan,Бэлтгэл,Подготовка,準備,item,슬롯 카드 헤더
연락처,Số liên hệ,Contact,联系方式,ช่องทางติดต่อ,Hubungan,Холбоо барих,Контакты,連絡先,item,슬롯 카드 헤더
기타,Khác,Other,其他,อื่นๆ,Lain-lain,Бусад,Прочее,その他,item,슬롯 카드 헤더
방과후,Chương trình sau giờ học,After-school program,课后项目,โครงการหลังเลิกเรียน,Program selepas sekolah,Хичээлийн дараах хөтөлбөр,Программа после уроков,放課後プログラム,item,일정
사전예약,Đặt trước,Advance reservation,提前预约,จองล่วงหน้า,Tempahan awal,Урьдчилсан захиалга,Предварительная запись,事前予約,item,행정
성취기준,Tiêu chuẩn cần đạt,Achievement standard,成就标准,มาตรฐานผลสัมฤทธิ์,Standard pencapaian,Амжилтын шалгуур,Критерии достижения,達成基準,item,행정
마음방역,Chăm sóc sức khỏe tinh thần,Mental health care,心理健康管理,การดูแลสุขภาพจิต,Penjagaan kesihatan mental,Сэтгэцийн эрүүл мэндийн тусламж,Забота о психическом здоровье,心の健康管理,item,건강
소아청소년,Trẻ em và thanh thiếu niên,Children and adolescents,儿童青少年,เด็กและวัยรุ่น,Kanak-kanak dan remaja,"Хүүхэд, өсвөр үе",Дети и подростки,小児・青少年,item,행정
수강료,Học phí,Class fee,课程费,ค่าเรียน,Yuran kelas,Сургалтын төлбөр,Плата за занятия,受講料,item,비용
